nr,date,year,title,duration_min,notes,link
183,2021-11-16,2021,"Hip-Hop, Sangria, Vaterunser",50,"Beim Livepodcast auf der Buchmesse Wien sprechen wir mit der Autorin Angela Lehner über das Aufwachsen in der Osttiroler Provinz und die Spaltung zwischen Stadt und Land. “Unsere Stadt heißt Tal und das ist alles, was man wissen muss.” Über eine 15-Jährige und ihre Freunde und ihre Jugend in der Tiroler Provinz schreibt Angela Lehner in ihrem neuen Buch 2001. Wir haben Sie zur Buchmesse Wien eingeladen, um mit ihr bei einem Liveauftritt von “Servus. Grüezi. Hallo.” darüber zu reden, ob das Aufwachsen in der Provinz wirklich so schlimm ist. Was sie an dörflichen Verhaltensweisen mit in die Großstadt nach Berlin genommen hat. Ob Osttirol wirklich wie Texas ist und warum sie ihr Brot bekreuzigt.

Außerdem sprechen wir darüber, wie in Deutschland, Österreich und der Schweiz der Kontrast zwischen Stadt und Land politisiert wird, wie sich die Städter ein falsches Bild vom Land machen und die Landbewohner ein falsches von der Stadt, und wem das nützt.

Ab dem 15.1.2025 sind alle Folgen von ""Servus. Grüezi. Hallo."", die vor dem 31.3.2021 erschienen sind, nur noch exklusiv mit einem Digitalabo der ZEIT zu hören – auf ZEIT ONLINE, auf Apple Podcasts und auf Spotify. Ein kostenloses Probeabo können Sie hier abschließen. Wie Sie ihr Abo mit Spotify oder Apple Podcasts verbinden, lesen Sie hier.",https://www.zeit.de/gesellschaft/2021-11/angela-lehner-2001-buchmesse-wien
184,2021-11-24,2021,"Impfpflicht, made in Austria",48,"Warum prescht gerade Österreich bei der Corona-Impfpflicht vor, und sollten Deutschland und die Schweiz folgen? Und: Sehnsuchtsort Tankstelle Ab Februar 2022 sollen alle Österreicherinnen und Österreicher verpflichtet sein, sich gegen Corona zu impfen. Dabei hatten die Regierenden genau das lange Zeit ausgeschlossen. Wie kam es zum Sinneswandel und wie groß ist der Schaden, wenn Politik die eigenen Zusagen nicht mehr einhält? Wir diskutieren über Vor- und Nachteile einer Impfpflicht.

Außerdem bei ""Servus. Grüezi. Hallo."": In der Schweiz gibt es, auf die Bevölkerung gerechnet, viel mehr Tankstellen als in Deutschland, auch in Österreich stehen die Zapfsäulen dichter als beim nördlichen Nachbarn. Woher kommt das? Wir versuchen, die Tankstellenkultur in unseren Ländern zu ergründen.

Ab dem 15.1.2025 sind alle Folgen von ""Servus. Grüezi. Hallo."", die vor dem 31.3.2021 erschienen sind, nur noch exklusiv mit einem Digitalabo der ZEIT zu hören – auf ZEIT ONLINE, auf Apple Podcasts und auf Spotify. Ein kostenloses Probeabo können Sie hier abschließen. Wie Sie ihr Abo mit Spotify oder Apple Podcasts verbinden, lesen Sie hier.",https://www.zeit.de/gesellschaft/2021-11/impfpflicht-oesterreich-schweiz-deutschland-politikpodcast
185,2021-12-01,2021,Die Deutschen haben noch Visionen,49,"Was aus österreichischer und Schweizer Perspektive überraschend ist am Ampel-Koalitionsvertrag. Und wie teuer es in der Schweiz ist, zu schnell zu fahren. Vereinigte Staaten von Europa! SPD, Grüne und FDP nehmen sich in der Europapolitik einiges vor. Ist das realistisch oder nur Träumerei? Und warum das Wort “Schutzgüterabwägung” im Koalitionsvertrag so wichtig ist für die Klimapolitik der kommenden Regierung. Wir besprechen ausgesuchte Besonderheiten des Koalitionsvertrags. Außerdem bei “Servus. Grüezi. Hallo.“: Was es in Deutschland, Österreich und der Schweiz kostet, über rote Ampeln oder zu schnell zu fahren. Wir vergleichen Punktesysteme und (niedrige deutsche) mit (gigantischen) Schweizer Geldstrafen.

Ab dem 15.1.2025 sind alle Folgen von ""Servus. Grüezi. Hallo."", die vor dem 31.3.2021 erschienen sind, nur noch exklusiv mit einem Digitalabo der ZEIT zu hören – auf ZEIT ONLINE, auf Apple Podcasts und auf Spotify. Ein kostenloses Probeabo können Sie hier abschließen. Wie Sie ihr Abo mit Spotify oder Apple Podcasts verbinden, lesen Sie hier.",https://www.zeit.de/gesellschaft/2021-12/ampel-koalition-schweiz-oesterreich-politikpodcast
186,2021-12-04,2021,Was für ein Kanzlerverschleiß!,31,"Die Österreicher wieder: Der Schattenkanzler geht und sein Kanzler auch. Wir besprechen, was das Ende der (kurzen) Ära von Sebastian Kurz für das Land bedeutet. Ist es das Baby, die Korruptionsermittlungen oder beides? In Österreich zieht sich Sebastian Kurz aus der Politik zurück. Nach dem Kanzleramt verzichtet er jetzt auch auf den Partei- und Fraktionsvorsitz. Wir sprechen in einer Sonderfolge des transalpinen Podcasts ""Servus. Grüezi. Hallo."" über das spektakuläre Ende dieser kurzen und außergewöhnlichen Karriere.

Aber das ist noch nicht alles. Denn neben Schattenkanzler Kurz ist direkt darauf auch der echte Kanzler Alexander Schallenberg zurückgetreten. Warum eigentlich? Und sind zwei weitere Minister gleich mitgegangen? Implodiert da gerade die regierende ÖVP? Warum machen die Kurz-Getreuen nicht weiter? Wir analysieren den Zustand der Partei nach den Rücktritten und stellen den neuen Kanzler Karl Nehammer vor.

Ab dem 15.1.2025 sind alle Folgen von ""Servus. Grüezi. Hallo."", die vor dem 31.3.2021 erschienen sind, nur noch exklusiv mit einem Digitalabo der ZEIT zu hören – auf ZEIT ONLINE, auf Apple Podcasts und auf Spotify. Ein kostenloses Probeabo können Sie hier abschließen. Wie Sie ihr Abo mit Spotify oder Apple Podcasts verbinden, lesen Sie hier.",https://www.zeit.de/gesellschaft/2021-12/oesterreich-regierung-sebastian-kurz-politikpodcast
187,2021-12-08,2021,"Achtung, Machtwechsel",49,"Österreich bekommt einen neuen Kanzler und neue Minister, Deutschland eine neue Regierung – wie funktioniert das genau? Und: was ohne Schnee aus dem Alpentourismus wird Wie genau funktionieren eigentlich Minister- und Regierungswechsel? Wir sprechen über Vereidigungen und Angelobungen in Österreich und Deutschland, über Gottvertrauen und merkwürdige Standuhren. Und darüber, was mit den alten Ministern und ihren Mitarbeitern passiert, und wie viel Geld sie vom Staat kriegen.

Außerdem bei “Servus. Grüezi. Hallo.”: Wie sollen Skigebiete in den Alpen eigentlich noch funktionieren, wenn immer weniger und unzuverlässiger Schnee fällt? Ist Kunstschnee die Lösung oder gibt es noch andere Wege?

Ab dem 15.1.2025 sind alle Folgen von ""Servus. Grüezi. Hallo."", die vor dem 31.3.2021 erschienen sind, nur noch exklusiv mit einem Digitalabo der ZEIT zu hören – auf ZEIT ONLINE, auf Apple Podcasts und auf Spotify. Ein kostenloses Probeabo können Sie hier abschließen. Wie Sie ihr Abo mit Spotify oder Apple Podcasts verbinden, lesen Sie hier.",https://www.zeit.de/gesellschaft/2021-12/bundesregierung-oesterreich-deutschland-politikpodcast
188,2021-12-15,2021,Boostert Ihr schon oder streitet Ihr noch?,47,"Österreich impft im Stephansdom, auch in Deutschland sind jetzt die Kinder dran – warum ist die Schweiz so zögerlich? Außerdem: Buchtipps zu Weihnachten

Hans Platzgumer: Bogners Abgang, Zsolnay Verlag, Wien 2021, 144 S., 20,- €

Eva Schmidt: Die Welt gegenüber. Erzählungen. Jung und Jung, Salzburg-Wien 2021, 224 S., 22,- €

Sarah Kuratle: Greta und Jannis. Vor acht oder in einhundert Jahren, Otto Müller Verlag, Salzburg-Wien 2021, 232 S., 22,- €

Wolfgang Hartl, Mia Kirsch, Erika Friedl: Bäckermaus & Donaustrudel. Süße Rezepte aus Österreich, Edition 5Haus, Wien 2021, 160 S., 30,- €

François Walter, Marco Zanoli: Historischer Atlas der Schweiz, Hier und Jetzt Verlag, Zürich 2021, 199 S., Fr. 59.-

Stefan Howald (Hrsg.): Projekt Schweiz. Vierundvierzig Porträts aus Leidenschaft, Unionsverlag, Zürich 2021, 496 S., Fr. 44.-

Claudio Miozzari, Barbara Piatti (Hg.)

Celestino Piatti: Alles, was ich male, hat Augen / Everything I Paint Has Eyes, Christoph Merian Verlag, Basel 2021, 408 S., Fr. 59.-

Celestino Piatti: Piatti für Kinder, Nord Süd Verlag, Zürich 2021, 220 S., Fr. 37.90

Nastassja Martin: An das Wilde Glauben. Matthes&Seitz Berlin 2021, 139 S., 20,90 €

Helene Hegemann: Patti Smith, Christoph Schlingensief, Anarchie und Tradition. KiWi, Köln 2021, 112 S., 10,- €

Steffen Mau: Sortiermaschinen. Die Neuerfindung der Grenze im 21. Jahrhundert. C.H. Beck Verlag, München 2021, 189 S., 14,95 €

Ab dem 15.1.2025 sind alle Folgen von ""Servus. Grüezi. Hallo."", die vor dem 31.3.2021 erschienen sind, nur noch exklusiv mit einem Digitalabo der ZEIT zu hören – auf ZEIT ONLINE, auf Apple Podcasts und auf Spotify. Ein kostenloses Probeabo können Sie hier abschließen. Wie Sie ihr Abo mit Spotify oder Apple Podcasts verbinden, lesen Sie hier.",https://www.zeit.de/gesellschaft/2021-12/corona-vierte-welle-boostern-oesterreich
189,2021-12-22,2021,Was sich Pflegekräfte zu Weihnachten wünschen,50,"Geld, Zeit, Wertschätzung: Wir sprechen über die Arbeitsbedingungen in der Pflege und was Politik tut, um sie zu verbessern. Außerdem: unser Zeitvertreib über die Feiertage Wir haben Pflegerinnen und Pfleger nach ihren Weihnachtswünschen gefragt. Wie schlecht verdienen sie, wie lang sind ihre Schichten, wie viel von der öffentlichen Wertschätzung kommt bei ihnen an und was wäre nötig, um ihnen die Arbeit zu erleichtern? In der Schweiz ist vor Kurzem eine spektakuläre Volksinitiative zum Thema durchgekommen, auch in Deutschland verspricht die neue Regierung, die Arbeitsbedingungen zu verbessern. Aber wie?

Außerdem bei “Servus. Grüezi. Hallo.”: Wie wir selbst über die langen Feiertage kommen. Mit Eishockey, Darts, Kochen und Rodeln.

Ab dem 15.1.2025 sind alle Folgen von ""Servus. Grüezi. Hallo."", die vor dem 31.3.2021 erschienen sind, nur noch exklusiv mit einem Digitalabo der ZEIT zu hören – auf ZEIT ONLINE, auf Apple Podcasts und auf Spotify. Ein kostenloses Probeabo können Sie hier abschließen. Wie Sie ihr Abo mit Spotify oder Apple Podcasts verbinden, lesen Sie hier.",https://www.zeit.de/gesellschaft/2021-12/pflege-arbeitsbedingungen-gesundheitswesen-schweiz-politik-podcast
190,2022-01-05,2022,Spalter!,52,"Deutschland und Österreich legen sich wegen der Atomkraft mit der EU an – und was macht die Schweiz? Außerdem: Warum Schweizerinnen und Schweizer viel mehr Sport machen Weil die EU-Kommission Atomenergie (neben Erdgas) als grüne Technologie einstufen will, ärgern sich die deutschen Grünen. Und eine österreichische Ministerin will sogar klagen. Warum ist der Widerstand gerade in diesen beiden Ländern so groß? Und warum hält ausgerechnet die technikaffine Schweiz so sehr am Ausstieg aus der Kernkraft fest?

Außerdem bei ""Servus. Grüezi. Hallo."": Die Schweiz ist viel sportlicher als ihre nördlichen Nachbarn. Während in Rest-Europa immer mehr Menschen gar keinen Sport machen, machen die Schweizerinnen und Schweizer sogar immer mehr Sport. Liegt das an den Bergen? Oder am Geld?

Ab dem 15.1.2025 sind alle Folgen von ""Servus. Grüezi. Hallo."", die vor dem 31.3.2021 erschienen sind, nur noch exklusiv mit einem Digitalabo der ZEIT zu hören – auf ZEIT ONLINE, auf Apple Podcasts und auf Spotify. Ein kostenloses Probeabo können Sie hier abschließen. Wie Sie ihr Abo mit Spotify oder Apple Podcasts verbinden, lesen Sie hier.",https://www.zeit.de/gesellschaft/2022-01/atomenergie-eu-taxonomie-oesterreich-schweiz-politikpodcast
191,2022-01-12,2022,Hat da wer Durchseuchung gesagt?,45,Warum die Schweiz die Omikron-Welle einfach geschehen lässt und man in Österreich besser testet als in Deutschland. Außerdem: das große Sisi-Revival,https://www.zeit.de/gesellschaft/2022-01/omikron-schweiz-oesterreich-deutschland-politikpodcast
192,2022-01-19,2022,Kann man Politik singen?,47,"Deutschland streitet über eine Parlamentspoetin, die Schweizer Verfassung hat gar ein Dichter mitgeschrieben. Und: Österreich traut sich die Impfpflicht.",https://www.zeit.de/gesellschaft/2022-01/parlamentspoetin-bundestag-nachrichtenpodcast
193,2022-01-26,2022,Die Zahlenteufel,49,Warum ist Mathe in den deutschsprachigen Ländern so unbeliebt? Außerdem: Warum die steigenden Energiepreise für Schweizer weniger schlimm sind als für Deutsche,https://www.zeit.de/serie/servus-gruezi-hallo
194,2022-02-02,2022,Russische Erde,52,Was Napoleon mit der deutschen Russland-Nähe zu tun hat und welche Geschichte Österreich und die Schweiz mit dem Riesenreich haben. Und: was von Olympia zu halten ist,https://www.zeit.de/gesellschaft/2022-02/deutsch-russische-beziehungen-olympischen-winterspiele-politikpodcast
195,2022-02-09,2022,"""Jössas, jetzt geht die Sauferei wieder los""",55,"Wie sich Österreich (vielleicht) mal einen Staatsvertrag mit Russland ersoffen hat und wie aktuell Brandts Ostpolitik noch ist. Plus: Wie die Schweiz Corona beenden will.

Die DLF-Reportage über die deutsch-russischen Beziehungen finden Sie hier",https://www.zeit.de/gesellschaft/2022-02/russlandpolitik-oesterreich-staatsvertrag-nachrichtenpodcast
196,2022-02-23,2022,Die Zebrastrategie,52,"Die Schweizer wieder: Wie skandalös sind die “Suisse Secrets”? Und warum ist in Deutschland nicht nur die Inflation höher, sondern auch die Panik davor?",https://www.zeit.de/wirtschaft/2022-02/suisse-secrets-schweiz-inflation-deutschland-politikpodcast
197,2022-03-02,2022,Wie kann man da neutral sein?,56,"""Zeitenwende"" in Deutschland, Sanktionsbremse Schweiz – und was wird aus der Neutralität Österreichs? Die Reaktionen unserer Länder auf den Krieg",https://www.zeit.de/gesellschaft/2022-03/ukraine-angriff-russland-schweiz-deutschland-oesterreich-politikpodcast
198,2022-03-09,2022,Auf der Flucht,48,"Immer mehr Geflüchtete aus der Ukraine kommen auch in Deutschland, Österreich und der Schweiz an. Wie gehen die Länder damit um? Und: was wird aus den Putin-Helfern?",https://www.zeit.de/gesellschaft/2022-03/ukrainische-fluechtlinge-oesterreich-schweiz-umgang
199,2022-03-16,2022,"Tanken, Heizen, Putin finanzieren",50,Was würden Österreich und Deutschland ohne russisches Gas tun und wie daneben ist jetzt eine Spritpreisbremse? Außerdem: Wie die Schweiz trotz Rekordinzidenzen weiter öffnet.,https://www.zeit.de/gesellschaft/2022-03/energiepreise-subventionen-russland-ukraine-kireg-alpenpodcast
200,2022-03-23,2022,"Ach, der kommt auch aus der Ukraine?",53,"In der 200. Folge stellen wir ukrainische Autorinnen und Autoren und ihre Werke vor – und erklären, warum irgendwie auch Joseph Roth dazugehört.

Serhij Schadan: ""Internat""; Suhrkamp Verlag, Berlin 2018, 300 S., 22,62 Euro

Tanja Maljartschuk: ""Blauwal der Erinnerung""; Kiepenheuer & Witsch, Köln 2019, 288 S., 22,62 Euro

Andrij Kurkow: ""Jimi Hendrix live in Lemberg""; Diogenes, Zürich 2014, 416 S., 13,37 Euro

Katja Petrowskaja: ""Vielleicht Esther"", Suhrkamp Verlag, Berlin 2014, 285 S., 12,33 Euro

Joseph Roth: ""Radetzkymarsch"", dtv, 416 S., 11,21 Euro

Joseph Roth: ""Reisen in die Ukraine und nach Russland"", C.H.Beck, 2015, 133 S., 14,95 Euro

Joseph Roth: ""Hiob"", dtv, 188 S., 7,90 Euro

Leopold von Sacher-Masoch: ""Venus im Pelz""

Ljubko Deresch: ""Kult""; edition Suhrkamp, 2005, 259 S., 12 Euro

Michail Bulgakow: ""Das hündische Herz""; illustriert von Christian Gralingen; Edition Büchergilde, Frankfurt am Main, 2016, 200 S., 29,90 Euro

Michail Bulgakow: ""Meister und Margarita""; dtv, München, 2014, S.608, 12,90 Euro

Stanislaw Lem: ""Solaris""; Ullstein, Berlin 2021, S. 336, 8,99 Euro

Jonathan Safran Foer: ""Alles ist erleuchtet""; Fischer, Frankfurt am Main 2005, S. 384, 12,45 Euro

Nikolai Wassiljewitsch Gogol: ""Die toten Seelen""; dtv, München, 2013, S. 640, 14,00 Euro",https://www.zeit.de/gesellschaft/2022-03/autoren-ukraine-literatur-geschichte-politikpodcast
201,2022-03-30,2022,Die Anbauschlacht,50,"Wegen des Kriegs wird in Deutschland, Österreich und der Schweiz niemand hungern – aber vielleicht ändert sich die Agrarpolitik. Und: die Grenzen der Ukraine-Diplomatie",https://www.zeit.de/gesellschaft/2022-03/ukraine-krieg-agrarpolitik-oesterreich-schweiz-politikpodcast
202,2022-04-06,2022,Waffen und Gärten,53,"Wie bauen Deutschland, Österreich und die Schweiz jetzt ihr Militär um? Und sind Schrebergärten eigentlich schlimm oder herrlich?",https://www.zeit.de/gesellschaft/2022-04/sondervermoegen-bundeswehr-oesterreich-schweiz-poltikpodcast
203,2022-04-13,2022,Der Problempräsident,54,"Wir streiten, wie viel Schuld Bundespräsident Steinmeier in der Russland-Politik auf sich geladen hat. Und: Wie Deutschland und die Schweiz zur Wahl in Frankreich stehen.",https://www.zeit.de/gesellschaft/2022-04/frank-walter-steinmeier-russlandpolitik-politikpodcast
204,2022-04-27,2022,Wäre Le Pen bei uns möglich?,51,Warum die mittelmäßigen Wahlergebnisse von FPÖ und AfD wenig über rechte Einstellungen in Deutschland und Österreich sagen. Und was ist eigentlich Austropop?,https://www.zeit.de/gesellschaft/2022-04/rechtspopulismus-afd-fpoe-politikpodcast
205,2022-05-04,2022,"Aber hier leben, nein danke",51,Die besondere Rolle der Hamburger Schule im Leben gewisser mittelalter deutscher Männer. Und warum die Schweiz trotz aller Skandale wohl weiter bei Frontex mitmacht.,https://www.zeit.de/gesellschaft/2022-05/hamburger-schule-musik-manner-politikpodcast
206,2022-05-11,2022,Ein Arzt fürs ganze Bundesland,50,"Warum Deutschland und Österreich bei Schwangerschaftsabbrüchen besser nicht über die USA spotten. Und warum in der Schweiz fast nie Politiker zurücktreten.

Das ZEIT ONLINE Podcast-Festival am 11. Juni ist mittlerweile ausverkauft, für den Livestream kann man sich hier anmelden.",https://www.zeit.de/gesellschaft/2022-05/schwangerschaftsabbrueche-usa-straftat-politikpodcast
207,2022-05-18,2022,Die Tourismusextremisten,69,"Verbaute Berge, im Sommer entvölkerte Täler: Warum der Tourismus in Tirol so eskaliert ist, besprechen wir in Innsbruck. Und: Die Pressefreiheit in unseren Ländern nimmt ab.",https://www.zeit.de/gesellschaft/2022-05/tirol-tourismus-alpenpodcast
208,2022-05-25,2022,A Zeitenwenderl,52,Erst Finnland und Schweden – dann die Schweiz und Österreich? Wie die beiden Länder um ihre Neutralität kämpfen. Und wo Oben-ohne-Baden zum Politikum geworden ist.,https://www.zeit.de/gesellschaft/2022-05/oesterreich-schweiz-neutralitaet-nato-politikpodcast
209,2022-06-01,2022,Die passen doch niemals alle rein,58,"Deutschland stolpert ins 9-Euro-Ticket-Experiment, die Österreicher haben das besser gemacht, oder? Und: wie die Schweiz Rockern den Prozess zu machen versucht.",https://www.zeit.de/gesellschaft/2022-06/9-euro-ticket-klimaticket-oesterreich-politikpodcast
210,2022-06-08,2022,Schule der Demütigung,50,"Eine Schweizer Ballettschule kämpft mit einem Misshandlungsskandal, in Wien und Berlin gab es ähnliche Fälle. Was ist das Muster dahinter? Und: die Queen und wir

Die Reise von Linz zum Podcast-Festival nach Berlin kann man hier bei Instagram verfolgen.",https://www.zeit.de/gesellschaft/2022-06/tanzakademie-zuerich-ballett-missbrauch-alpenpodcast
211,2022-06-15,2022,Geh nicht nach Berlin,57,Warum zieht es auch Schweizer und Österreicherinnen nach Berlin und warum ist die deutsche Hauptstadt so ganz anders als das restliche Land? Live vom Podcastfestival,https://www.zeit.de/gesellschaft/2022-06/berlin-hauptstadt-lebensgefuehl-alpenpodcast
212,2022-06-22,2022,"Mein Tod, meine Entscheidung",49,"Warum ist in der Schweiz Sterbehilfe schon seit 40 Jahren erlaubt, während man in Österreich streng ist und Deutschland um eine Regelung ringt? Außerdem: Junggesellenabschiede",https://www.zeit.de/gesellschaft/2022-06/sterbehilfe-schweiz-oesterreich-deutschland-alpenpodcast
213,2022-06-29,2022,Dreckiges Geld für schöne Klänge,57,"Russische Staatsunternehmen sponsern Kultur in der Schweiz, Österreich und Deutschland. Sind die Künstler jetzt mitschuldig? Und: Wie in Wien die Eisdiele erfunden wurde.",https://www.zeit.de/gesellschaft/2022-06/russland-kultursponsoring-oesterreich-schweiz-alpenpodcast
214,2022-07-06,2022,Was ist Frauenfußball wert?,57,"Zum EM-Start: Was Fußballerinnen in der Schweiz, Deutschland und Österreich verdienen und wie es um ihr Ansehen steht. Außerdem: Pfadfinder, wozu die Uniformen?",https://www.zeit.de/gesellschaft/2022-07/fussball-em-frauenfussball-bezahlung-alpenpodcast
215,2022-07-13,2022,Und wer macht jetzt die ganze Arbeit?,55,"Deutschland und der Schweiz fehlen die Arbeitskräfte, aber eines der Länder kriegt das mit der Einwanderung besser hin. Außerdem: Wie die Schweiz das Heimweh erfand.",https://www.zeit.de/gesellschaft/2022-07/einwanderungspolitik-arbeitsmarkt-alpenpodcast
216,2022-07-27,2022,Vielleicht ist das Gas noch zu billig,51,"Österreich ist noch abhängiger von russischem Gas als Deutschland, was tun die Länder, um im Winter nicht zu frieren? Außerdem: Tirol als Freizeitpark",https://www.zeit.de/gesellschaft/2022-07/gaskrise-gasversorgung-oesterreich-bayern-alpenpodcast
217,2022-08-10,2022,Die Hass-Schleudern,51,"Nach dem Tod einer Ärztin: Was tut man in Österreich, Deutschland und der Schweiz gegen Beleidigungen und Bedrohungen im Netz? Und: Wer wie lange Ferien hat.

Die psychiatrische Nothilfe in Österreich ist online zu erreichen oder telefonisch unter 01/313 30.

Karten für den Auftritt in Zürich am 7. November gibt es hier.",https://www.zeit.de/gesellschaft/2022-08/hass-internet-lisa-maria-kellermayr-alpenpodcast
218,2022-08-17,2022,Dieser Sommer ist eine Katastrophe,54,"Dürre von der Ostsee bis in die Alpen: Wir sprechen über leere Flüsse und schmelzende Gletscher in Deutschland, Österreich und der Schweiz. Und: Wer in die Vorschule muss.",https://www.zeit.de/gesellschaft/2022-08/duerresommer-wasserpegel-gletscher-alpenpodcast
219,2022-08-24,2022,Es bitzeli Blackout,51,"Der Schweiz könnte der Strom ausgehen, in Österreich empfehlen sie schon Notstromaggregate. Und: Ab wann Kinder nach Leistung sortiert werden.",https://www.zeit.de/gesellschaft/2022-08/energiekrise-strom-schweiz-oesterreich-schulkinder-alpenpodcast
220,2022-08-31,2022,Die hängenden Gärten von Berlin,54,"Der rbb-Skandal hat eine Debatte um den öffentlichen Rundfunk ausgelöst, wie umstritten ist er in der Schweiz und Österreich? Und: Wie man aufs Gymnasium kommt.",https://www.zeit.de/gesellschaft/2022-08/oeffentlich-rechtlicher-rundfunk-rbb-orf-srf-alpenpodcast
221,2022-09-07,2022,Wiener Milliarden,54,Warum Wien Energie dringend viel Geld braucht und wie andere Strom- und Gasversorger durch die Krise kommen. Und: der Weg zu Matura und Abi,https://www.zeit.de/gesellschaft/2022-09/wien-energie-oesterreich-energiekrise-alpenpodcast
222,2022-09-14,2022,Behaltet bitte euren Müll,56,"Wie die Schweiz ihr Atommüllendlager gefunden hat und was die Deutschen dazu meinen, dass es an der Grenze liegt. Und: Ein Grüner macht in Österreich Heimatwahlkampf.",https://www.zeit.de/gesellschaft/2022-09/atommuell-endlager-schweiz-deutschland-alpenpodcast
223,2022-09-21,2022,Wie man bei uns zum Gott wird,55,"Die Schweiz verabschiedet sich von Roger Federer, wer hat in Deutschland und Österreich einen ähnlichen Status? Und: Privatschulen",https://www.zeit.de/gesellschaft/2022-09/roger-federer-abschied-schweiz-alpenpodcast
224,2022-09-28,2022,"Frau Meloni, die Rechten und wir",50,"Wahlsiegerin Giorgia Meloni: Profitieren auch in Deutschland, Österreich und der Schweiz die Rechten politisch von der Energiekrise? Und: Streitthema Inklusion",https://www.zeit.de/gesellschaft/2022-09/rechtsruck-italien-giorgia-meloni-afd-fpoe-alpenpodcast
225,2022-10-05,2022,Der Raucher gewinnt eh,47,Merkwürdige Kandidaten treten zur Bundespräsidentenwahl in Österreich an. Muss das so? Und wer wird siegen? Außerdem: Warum so viele Schwarzfahrer im Knast landen.,https://www.zeit.de/gesellschaft/2022-10/oesterreich-bundespraesidentenwahl-schwarzfahrer-alpenpodcast
226,2022-10-12,2022,Wie die Quote gemacht wird,51,"Noch immer zählt die analoge TV-Quote mehr als Streamingzahlen. Warum? Außerdem: die Großdenker in Deutschland, Österreich und der Schweiz

Heute, am Mittwoch, dem 12. Oktober um 20:25 Uhr, läuft unser Film ""Servus. Grüezi. Hallo."" unterwegs auf 3sat, bitte alle einschalten!",https://www.zeit.de/gesellschaft/2022-10/tv-quote-messung-fernsehen-alpenpodcast
227,2022-10-26,2022,Das Erbe des Sebastian K.,56,"Warum die neuen Enthüllungen über den österreichischen Ex-Kanzler größer sind als das Ibiza-Video. Und wie viel Schweiz eigentlich in Red Bull steckt

Unseren Film kann man hier anschauen.

Karten für die Buch Wien, wo wir am 25. November auftreten, gibt es hier.",https://www.zeit.de/gesellschaft/2022-10/sebastian-kurz-oesterreich-dietrich-mateschitz-alpenpodcast
228,2022-11-02,2022,Die neue Wut auf Deutschland,55,"Was seit Kriegsbeginn mit dem internationalen Ansehen von Deutschland, der Schweiz und Österreich passiert ist. Und wieso die Schweiz Fahrradfahrer so schlecht schützt.

Den Spinner des Monats können Sie hier wählen, Karten für den Auftritt in Wien gibts hier.",https://www.zeit.de/gesellschaft/2022-11/internationales-ansehen-waffenlieferungen-energiepolitik-alpenpodcast
229,2022-11-09,2022,Warum ist die Schweiz so reich?,65,"Söldner, Banken, blaue Bananen: Beim Liveauftritt in Zürich diskutieren wir, was die Schweiz so reich gemacht hat und was dieser Reichtum mit den Schweizern macht.",https://www.zeit.de/gesellschaft/2022-11/schweiz-reichtum-zuerich-alpenpodcast
230,2022-11-16,2022,Keine Matura ohne Heidi!,45,"Der wichtigste Kinderbuchklassiker der Schweiz ist mehr als Alpenkitsch. Und: was (besonders in Österreich) passiert, wenn Journalisten der Politik zu nahe kommen.",https://www.zeit.de/gesellschaft/2022-11/politik-medien-naehe-alpenpodcast
231,2022-11-23,2022,Der Katar-Krampf,60,"Der Ärger in der Schweiz, Deutschland und Österreich ist groß über die WM in Katar – ist er auch wohlfeil? Und: In Berlin will niemand schuld sein an der Wahlwiederholung.",https://www.zeit.de/gesellschaft/2022-11/wm-katar-umgang-alpenpodcast
232,2022-11-30,2022,Das größte Liebespaar der Alpen,50,Was die Briefe zwischen Max Frisch und Ingeborg Bachmann über diese transalpine Liebe verraten – und wie viele Österreicher sich keinesfalls in Deutsche verlieben wollen.,https://www.zeit.de/gesellschaft/2022-11/max-frisch-ingeborg-bachmann-briefwechsel-alpenpodcast
233,2022-12-07,2022,Wer hat Angst vor Hafermilch?,47,"Tiroler Bauern kämpfen für ihre Kuhmilch, wir reden über dieses und 44 weitere (wahre) Österreich- und Schweiz-Klischees. Außerdem: warum Deutsche mehr streiken",https://www.zeit.de/gesellschaft/2022-12/tirol-hafermilch-werbung-bauern-alpenpodcast
234,2022-12-14,2022,Welches Reich meinen die denn überhaupt?,58,Was die deutsche Razzia gegen Reichsbürger mit der Schweiz und Österreich zu tun hat. Und warum die Schweiz wegen zwei neuer Bundesräte ganz aufgeregt ist.,https://www.zeit.de/gesellschaft/2022-12/reichsbuerger-razzia-rechtsextremismus-alpenpodcast
